method_id,material_id,material_group,formula,elements,n_elements,target_material,morphology,morphology_reported,route,route_reported,precursor,precursor_from_json,solvent,temperature_C,time_h,time_min,precursor_cost_AUD_per_g,cost_unit,cost_match_quality,cost_source_column,entry_id,protocol_number,protocol_source
method_cda4c546709381,mat_ea7acd788810b8,Ag,Ag,Ag,1,Shape-controlled silver nanoparticles,nanotriangle,"Nanospheres, nanotriangles, nanorods, and nanocubes",chemical reduction,One-pot aqueous chemical reduction,AgNO3,Silver nitrate; Poly(vinyl alcohol); Sodium citrate; Hydrogen peroxide; Sodium borohydride,Deionized water,Ambient during reaction; vacuum drying at 60 °C,,,14.2993657074096,AUD/g product,entry only,precursor_cost_AUD_per_g_product,5003,2,example_protocol
method_913218b9ee6219,mat_ea7acd788810b8,Ag,Ag,Ag,1,Shape-controlled silver nanoparticles,nanotriangle,"Nanospheres, nanotriangles, nanorods, and nanocubes",chemical reduction,One-pot aqueous chemical reduction,AgNO3,Silver nitrate; Poly(vinyl alcohol); Sodium citrate; Hydrogen peroxide; Sodium borohydride,Deionized water,Ambient during reaction; vacuum drying at 60 °C,,,14.2993657074096,AUD/g product,entry only,precursor_cost_AUD_per_g_product,5003,3,example_protocol
method_d8827b0a4c5af9,mat_ea7acd788810b8,Ag,Ag,Ag,1,Shape-controlled silver nanoparticles,nanotriangle,"Nanospheres, nanotriangles, nanorods, and nanocubes",chemical reduction,One-pot aqueous chemical reduction,AgNO3,Silver nitrate; Poly(vinyl alcohol); Sodium citrate; Hydrogen peroxide; Sodium borohydride,Deionized water,Ambient during reaction; vacuum drying at 60 °C,,,14.2993657074096,AUD/g product,entry only,precursor_cost_AUD_per_g_product,5003,4,example_protocol
method_87b890371821fb,mat_4a916f77b0f984,Ag,Ag,Ag,1,Silver nanostructures with controlled morphology,nanotriangle,truncated triangle,solvothermal,Seedless solvothermal reduction with time-controlled reflux,AgNO3,Silver nitrate; Poly(vinylpyrrolidone); Dimethylformamide,Dimethylformamide; products redispersed in deionized water,Room temperature for small nanospheres; 160 °C reflux for larger anisotropic structures,"10 min initial mixing; reflux 1, 2, or 4 h depending on target morphology",,14.2993657074096,AUD/g product,entry only,precursor_cost_AUD_per_g_product,9099,4,example_protocol
method_8a065e9d264c42,mat_484a82d616464e,Ag,Ag,Ag,1,Silver nanowires used as the scaffold for an Ag@PPy sponge,nanowire,Nanowires,solvothermal,Solvothermal synthesis,AgNO3,Silver nitrate; Poly(vinylpyrrolidone); Sodium chloride; Ethylene glycol,Ethylene glycol; product redispersed in deionized water,160,6,,14.2993657074096,AUD/g product,entry+morphology+route,precursor_cost_AUD_per_g_product,12080,1,main_protocol
method_ac913970407ea9,mat_3801883f89571b,Ag,Ag,Ag,1,"Very-long, thin silver nanowires",nanowire,"Very-long, thin nanowires",hydrothermal,Hydrothermal synthesis,AgNO3,Silver nitrate; D-glucose; Poly(vinylpyrrolidone); Sodium chloride,Deionized water; final dispersion in isopropanol,160,22,,14.2993657074096,AUD/g product,entry+morphology+route+formula,precursor_cost_AUD_per_g_product,135,1,main_protocol
method_101a74c2b4073c,mat_0d3f311789ea4d,Ag,Ag,Ag,1,Silver nanowires used as a core for Ag NWs–CdS–Au photocatalyst,nanowire,Nanowires,hydrothermal,Hydrothermal synthesis,AgNO3,Silver nitrate; Poly(vinylpyrrolidone); L-cysteine; Ethylene glycol,Ethylene glycol,,,,14.2993657074096,AUD/g product,entry+morphology+route+formula,precursor_cost_AUD_per_g_product,15627,1,main_protocol
method_628f73294f2a76,mat_d79eaf9809561d,Ag,Ag,Ag,1,Multicrystalline silver nanowires used as templates for Ag/AgBr necklace-like heterostructures,nanowire,Nanowires,polyol,Polyol-thermal synthesis,AgNO3,Poly(vinylpyrrolidone); Silver nitrate; Glycerol; Ethylene glycol,Glycerol/ethylene glycol mixed polyol solvent; redispersed in water after purification,200,5,,14.2993657074096,AUD/g product,entry+morphology+route,precursor_cost_AUD_per_g_product,168,1,main_protocol
method_62dbdfe201b465,mat_f11d73bfbe1158,Ag,Ag,Ag,1,Twin-crystalline silver nanowires used as templates for Pt nanotubes,nanowire,Nanowires,hydrothermal,Hydrothermal synthesis,AgNO3,Poly(vinylpyrrolidone); Glucose; Silver nitrate,Water,150,4,,14.2993657074096,AUD/g product,entry+morphology+route+formula,precursor_cost_AUD_per_g_product,18223,1,main_protocol
method_9f4afb28a23458,mat_d0ee77ec25e37e,Ag,Ag,Ag,1,"Very-long, thin silver nanowires",nanowire,"Very-long, thin nanowires",hydrothermal,Hydrothermal synthesis,AgNO3,Silver nitrate; D-glucose; Poly(vinylpyrrolidone); Sodium chloride,Deionized water; isopropanol for washing and final dispersion,160,22,,14.2993657074096,AUD/g product,entry+morphology+route+formula,precursor_cost_AUD_per_g_product,19500,1,main_protocol
method_ea26adc8efea09,mat_7092fc5a36d3e6,Ag,Ag,Ag,1,Silver nanowires used to form PPy/Ag coaxial nanowire aero-sponges,nanowire,Nanowires,polyol,Polyol solvothermal synthesis,AgNO3,Sodium chloride; Poly(vinylpyrrolidone); Silver nitrate; Ethylene glycol,Ethylene glycol,160,6,,14.2993657074096,AUD/g product,entry+morphology+route,precursor_cost_AUD_per_g_product,20867,1,main_protocol
method_ea39bdb29d2f55,mat_cb752d5d60f676,Ag,Ag,Ag,1,Silver nanowires used as templates for Ag–AgCl/PPy nanocomposites,nanowire,Nanowires,polyol,Polyol reflux synthesis,AgNO3,Silver nitrate; Poly(vinylpyrrolidone); Ethylene glycol,Ethylene glycol; acetone for washing,160,1,,14.2993657074096,AUD/g product,entry+morphology+route,precursor_cost_AUD_per_g_product,24637,1,main_protocol
method_e713db80b943e3,mat_48846a9d487fed,Ag,Ag,Ag,1,Silver nanowires and ordered silver nanowire arrays,nanowire,Nanowires,hydrothermal,Hydrothermal nanowire synthesis followed by droplet-spreading alignment,AgNO3,Silver nitrate; Poly(vinylpyrrolidone); Sodium sulfide; Ethylene glycol,Ethylene glycol for synthesis; ethanol for washing and array deposition,160,5,,14.2993657074096,AUD/g product,entry+morphology+route+formula,precursor_cost_AUD_per_g_product,8133,1,main_protocol
method_494896a6a3f3d9,mat_31db81f9527ca3,Cu,"Cu(In,Al)S2",Al;Cu;In;S,4,"Cu(In,Al)S2 films prepared from CuO, In2O3 and Al2O3 oxide precursor particles",film,CIAS films composed of closely packed particles with voids and a sandwich structure; glass substrate/intermediate small-grained layer/top large-grained layer,precipitation,"liquid-phase chemical precipitation of oxide precursor particles, spin-coating of oxide slurry, H2/Ar reduction to CIA alloy film, and sulfuration to CIAS film",CuSO4·5H2O,,deionized water for oxide precipitation; slurry solvent not explicitly specified,"{'CuO_precursor_heat_C': 350, 'In2O3_precursor_heat_C': 700, 'Al2O3_precursor_heat_C': 500, 'sulfuration_film_C': 500, 'sulfur_vapor_C': 300}","{'CuO_precursor_heat_h': 1, 'In2O3_precursor_heat_h': 2, 'Al2O3_precursor_heat_h': 2, 'sulfuration_h': 1}",,2.70266000377145,AUD/g CuO,entry+morphology+route+formula,precursor_cost_AUD_per_g_CuO,6937,1,main_protocol
method_cef98bb8ad853c,mat_0409c62b318ce1,Cu,Cu1-xFexO,Cu;Fe;O,3,pure CuO and Fe-doped CuO nanorods,nanorod,nanorods,hydrothermal,template-free solution-phase hydrothermal synthesis,Cu(CH3COO)2·H2O,,deionised water,140,12,,1.9627418442391096,AUD/g CuO,entry+morphology+route+formula,precursor_cost_AUD_per_g_CuO,3512,1,main_protocol
method_2a999e4c388493,mat_f7e8b847c40377,Cu,CuO,Cu;O,2,undoped and Cd-doped CuO nanoflakes / nanoparticles,nanoparticle,nanoflakes; paper also describes products as nanoparticles in the synthesis section,precipitation,simple chemical precipitation,Cu(CH3COO)2·H2O,,double distilled water,60,,,1.9627418442391096,AUD/g CuO,entry+partial protocol match,precursor_cost_AUD_per_g_CuO,699,1,main_protocol
method_81086eea84c32d,mat_381fc9552c1b21,Cu,CuO,Cu;O,2,cupric oxide nanoparticles,nanoparticle,nanoparticles,precipitation,quick precipitation,Cu(CH3COO)2·H2O,,water,boiling,,,1.9627418442391096,AUD/g CuO,entry+morphology+route+formula,precursor_cost_AUD_per_g_CuO,764,1,main_protocol
method_120c7eb27e30d6,mat_cdc7ed4104c67e,Cu,CuO,Cu;O,2,CuO nanostructures,nanoparticle,flake-like CuO nanoparticles,hydrothermal,hydrothermal,,,,200,2,,,AUD/g CuO,unmatched,,1197,1,example_protocol
method_776e77aff0ddb4,mat_ff8c71b2aaec89,Cu,CuO,Cu;O,2,carambola-like CuO film on copper substrate; STA-modified CuO film,nanopetal,carambola-like CuO film composed of nanopetals,hydrothermal,hydrothermal growth of CuO film directly on copper substrate followed by stearic acid surface modification,,,water for hydrothermal growth; ethanol for STA modification,90,24,,,AUD/g CuO,unmatched,,20649,1,main_protocol
method_ae8b056886a74f,mat_21c83d467a364c,Cu,CuO,Cu;O,2,CuO single-crystal nanoplatelets with exposed {001} facets; comparison CuO nanoparticles,nanoplate,nanoplatelets; comparison nanoparticles,hydrothermal,low-temperature hydrothermal method,CuCl2·2H2O,,distilled water,180,2,,1.3930731032748758,AUD/g CuO,entry+partial protocol match,precursor_cost_AUD_per_g_CuO,1196,1,main_protocol
method_e11eadeb8c82ec,mat_0f4ea13ff65e1b,Cu,CuO,Cu;O,2,CuO nanoparticles; CuO nanoplatelets; CuO nanorods,nanoplate,nanoparticles; nanoplatelets; nanorods,hydrothermal,hydrothermal for CuO nanoparticles; thermolysis of copper hydroxide for CuO nanoplatelets and CuO nanorods,Cu(CH3COO)2·H2O,,ethanol for CuO nanoparticles; distilled water for CuO nanoplatelets and CuO nanorods,180,1,,1.9627418442391096,AUD/g CuO,entry+partial protocol match,precursor_cost_AUD_per_g_CuO,154,1,main_protocol
method_2b618bc3308be5,mat_7bcbf89992f71c,Cu,CuO,Cu;O,2,CuO nanoshuttles; porous CuO nanoparticles; CuO nanodisks,nanoplate,nanoshuttles; platelet-like porous nanoparticles; nanodisks,hydrothermal,wet chemical precipitation/thermal dehydration for nanoshuttles and nanodisks; hydrothermal synthesis followed by calcination for porous nanoparticles,Cu(NO3)2·3H2O; CuSO4·5H2O,,distilled water,"{'nanoshuttles_thermal_treatment_C': 100, 'porous_nanoparticles_hydrothermal_C': 120, 'nanodisks_heat_treatment_C': 60}","{'nanoshuttles_thermal_treatment_h': 1, 'porous_nanoparticles_hydrothermal_h': 5, 'nanodisks_heat_treatment_h': 3}",,2.70266000377145,AUD/g CuO,entry+partial protocol match,precursor_cost_AUD_per_g_CuO,4797,1,main_protocol
method_4882ec4814d46a,mat_0f3a5e8d573101,Cu,CuO,Cu;O,2,CuO nanorods,nanorod,nanorods,microwave-assisted,microwave heating method using L-methionine and NaOH,CuSO4·5H2O,,water,,,,2.70266000377145,AUD/g CuO,entry+morphology+route+formula,precursor_cost_AUD_per_g_CuO,25439,1,main_protocol
method_db49b0443881ac,mat_47f8ff1eb66cfb,Cu,CuO,Cu;O,2,CuO nanostructures,nanorod,CuO nanotubes / nanorods,hydrothermal,hydrothermal,,,,room temperature in cited route,1,,,AUD/g CuO,unmatched,,1197,2,example_protocol
method_c7b55348265c27,mat_6068ae8a4cc9c5,Cu,CuO,Cu;O,2,CuO nanosheets and CuO nanoparticles,nanosheet,leaflike nanosheets; nanoparticles as comparison sample,precipitation/calcination,solution method followed by calcination,CuSO4·5H2O,,doubly distilled water,25,0.333,,2.70266000377145,AUD/g CuO,entry+morphology+route,precursor_cost_AUD_per_g_CuO,31606,1,main_protocol
method_d22c0283a1e77e,mat_ceec7bf440da73,Cu,CuO,Cu;O,2,Ti-supported CuO film composed of bamboo-leaf-like nanosheets,nanosheet,bamboo-leaf-like nanosheets forming a nanostructured film,hydrothermal,solution-chemistry/autoclave deposition of CuO film on Ti substrate using Cu-EDTA complex and NaOH,CuSO4·5H2O,,double-distilled water,160,2,,2.70266000377145,AUD/g CuO,entry+morphology+route,precursor_cost_AUD_per_g_CuO,31955,1,main_protocol
method_a75a6be8292daf,mat_19fa6a9b23d007,Cu,CuO,Cu;O,2,CuO nanosheet arrays on nickel foam,nanosheet,nanosheet arrays forming a uniform film on nickel foam,template-free growth method on nickel foam,template-free growth method on nickel foam,Cu(NO3)2·3H2O,,ammonia (25 wt%) + water,90,6,,3.887711358350619,AUD/g CuO,entry+morphology+route,precursor_cost_AUD_per_g_CuO,10168,1,main_protocol
method_fe76b5d6b66145,mat_82bb76bf6195e7,Cu,CuO,Cu;O,2,CuO nanosheets,nanosheet,nanosheets; randomly grown sheet-like morphology,sonochemical,green sonochemical synthesis without template,,,water; ethanol and distilled water used for washing,boiling under ultrasonic irradiation,1,,,AUD/g CuO,unmatched,,10981,1,main_protocol
method_6070ec5e67462a,mat_b0f10eeecd0c48,Cu,CuO,Cu;O,2,CuO nanowires and CuO nanorods,nanowire,nanowires and nanorods,hydrothermal,solution-phase hydrothermal route assisted by salicylic acid,CuSO4·5H2O,,water and ethanol,120,1 h for nanowires; 6 h for nanorods,,2.70266000377145,AUD/g CuO,entry+morphology+route+formula,precursor_cost_AUD_per_g_CuO,22438,1,main_protocol
method_e8052784805125,mat_6863c91a32fcaa,Cu,CuO/ZnO,Cu;O;Zn,3,CuO nanoparticle-decorated porous ZnO nanorods,nanorod,CuO nanoparticles decorating porous ZnO nanorods,hydrothermal,"two-stage solution method: low-temperature hydrothermal synthesis of porous ZnO nanorods, followed by non-aqueous CuO nanoparticle decoration and calcination",Cu(NO3)2·3H2O,,water for ZnO nanorods; absolute ethanol for CuO decoration,90,15,,3.887711358350619,AUD/g CuO,entry+morphology+route+formula,precursor_cost_AUD_per_g_CuO,34028,1,main_protocol
method_89db3c8e016e07,mat_d1a0a19bd3df38,Cu,CuO/rGO,C;Cu;O,3,CuO nanoflower/reduced graphene oxide layered nanocomposite film,nanosheet,CuO nanoflowers connected with crumpled rGO nanosheets,hydrothermal,hydrothermal synthesis of CuO nanoflowers followed by layer-by-layer self-assembly with GO and thermal reduction to rGO,CuCl2·2H2O,,deionized water,180,16,,1.3930731032748758,AUD/g CuO,entry+morphology+route+formula,precursor_cost_AUD_per_g_CuO,26339,1,main_protocol
method_6f468812502474,mat_49a0516de6717d,Cu,CuO; CuO-PANI,C;Cu;N;O,4,CuO nanorods and CuO-PANI nanostructure coatings,nanorod,nanorods; CuO-PANI nanostructure coating,precipitation,template-free chemical precipitation for CuO nanorods followed by in-situ polymerization for CuO-PANI and spray coating on glass,CuCl2·2H2O,,Milli-Q water; acetic acid for aniline; isopropyl alcohol for spray coating dispersion,100,2,,1.3930731032748758,AUD/g CuO,entry+morphology+route+formula,precursor_cost_AUD_per_g_CuO,4759,1,main_protocol
method_80f93621370b12,mat_005761158243cf,Cu,CuO@TiO2,Cu;O;Ti,3,core-shell dendritic CuO@TiO2; dendritic CuO precursor,dendrite,dendritic CuO retained after TiO2 coating,hydrothermal,two-step method: hydrothermal dendritic CuO synthesis followed by sol-gel TiO2 coating,Cu(NO3)2·3H2O,,deionized water for CuO; ethanol for TiO2 coating,100,12,,3.887711358350619,AUD/g CuO,entry+morphology+route+formula,precursor_cost_AUD_per_g_CuO,12524,1,main_protocol
method_24839c474fcad7,mat_32d5c494192461,Cu,MoS2/CuO,Cu;Mo;O;S,4,MoS2(n)-CuO(p) piezotronic diode on cellulose paper; hollow CuO irregular nanorods,nanorod,MoS2 nanoflakes self-assembled into microsphere-like morphology; CuO hollow irregular nanorod-like structures; uniform CuO deposition on MoS2-cellulose paper,hydrothermal,hydrothermal growth of MoS2 on cellulose paper followed by hydrothermal synthesis of copper oxide nanoparticles/hollow irregular nanorods and spin-coating of CuO on MoS2-cellulose paper,Cu(CH3COO)2·H2O,,deionized water for hydrothermal synthesis; DMF for CuO dispersion/spin coating,"{'MoS2_hydrothermal_C': 200, 'CuO_hydrothermal_C': 80}","{'MoS2_hydrothermal_h': 20, 'CuO_hydrothermal_h': 5}",,1.9627418442391096,AUD/g CuO,entry+morphology+route+formula,precursor_cost_AUD_per_g_CuO,8138,1,main_protocol
